country_code,year,total_debt
IDN       ,2005,2328360155115.54
COL       ,2018,2308268516646.56
BGD       ,2022,2292864948929.72
ZAF       ,2016,2286272267561.8
PAK       ,2019,2268083929304.41
THA       ,2011,2265945656286.56
THA       ,2014,2253165619843.57
ARG       ,2012,2235682323616.32
ZAF       ,2013,2229111259580.61
THA       ,2016,2225451002262.67
BGD       ,2021,2222725839459.91
COL       ,2019,2220737572390.94
KAZ       ,2024,2216328523972.17
IND       ,2001,2186646395173.75
COL       ,2017,2172352992244.26
COL       ,2014,2166747461081.58
KAZ       ,2023,2166733474691.67
ZAF       ,2014,2163633583086.73
KAZ       ,2013,2141472990989.89
KAZ       ,2022,2128530423692.66
COL       ,2015,2109600904713.25
PAK       ,2017,2102355007193.87
COL       ,2016,2093595217289.28
ARG       ,2004,2086929423405.06
ARG       ,2008,2074312885579.54
PAK       ,2018,2065428421722.1
KAZ       ,2020,2064193417825.19
KAZ       ,2019,2061803817802.77
CHN       ,2026,2054573725417.7
UKR       ,2013,2052397583473.16
ARG       ,2010,2050028986330.83
COL       ,2013,2045358738042.64
VNM       ,2016,2042776887715.1301
EGY       ,2017,2040783243549.26
IDN       ,2004,2040022218851.36
ARG       ,2009,2038807730100.25
ARG       ,2003,2036484722736.35
KAZ       ,2014,2031562510556.22
THA       ,2010,2017969785076.29
KAZ       ,2021,1993923119294.43
THA       ,2015,1977954509922.6199
ARG       ,2001,1972876400642.86
IDN       ,2003,1956180155231.05
ARG       ,2007,1940197939340.8699
KAZ       ,2018,1937531595666.42
KAZ       ,2015,1924691009970.23
PHL       ,2019,1924221428993.85
ZAF       ,2010,1922579294943.96
EGY       ,2016,1919525374261.0
VNM       ,2015,1916223333525.76
VNM       ,2014,1914038469043.92
BGD       ,2020,1903947705496.68
UKR       ,2021,1890064611829.79
IDN       ,2000,1867775218316.88
KAZ       ,2016,1866557704423.99
KAZ       ,2017,1857733221104.74
ZAF       ,2015,1855777425528.78
NGA       ,2022,1840055904032.24
PER       ,2021,1836197775275.11
UKR       ,2020,1827630447979.22
CHN       ,2027,1824896729375.5
NGA       ,2024,1792431989439.06
COL       ,2012,1774567424060.3901
UKR       ,2010,1772556695309.69
IDN       ,2002,1768253451136.33
PER       ,2024,1760037191833.28
PHL       ,2018,1758079023844.0
KAZ       ,2012,1756450916083.19
UKR       ,2015,1754136309106.08
PHL       ,2015,1750745866835.79
NGA       ,2021,1730213838375.6099
UKR       ,2011,1719522915932.93
IDN       ,2001,1711119848543.76
NGA       ,2023,1698006778917.78
ARG       ,2006,1680780496110.66
VNM       ,2013,1680122658387.8
BGD       ,2019,1674891032958.08
COL       ,2011,1670263770449.6
EGY       ,2015,1657771295289.25
KAZ       ,2010,1652399139050.58
ARG       ,2002,1651719793635.16
PAK       ,2016,1636866033587.31
UKR       ,2019,1630863874928.23
ARG       ,2005,1627883688976.91
KAZ       ,2011,1619596396570.56
UKR       ,2012,1616326007039.74
BGD       ,2018,1600463769140.6
NGA       ,2019,1577571701478.94
PHL       ,2017,1570519396031.59
VNM       ,2012,1558867118384.3699
PHL       ,2014,1556749403468.95
NGA       ,2018,1552991815699.47
NGA       ,2020,1543347886064.64
PER       ,2023,1529238429795.25
PHL       ,2010,1528243562040.91
PAK       ,2014,1526216536794.69
PHL       ,2016,1525891605397.41
PHL       ,2013,1525685521996.23
PAK       ,2015,1516069246875.5
EGY       ,2013,1511281440610.84
THA       ,2009,1508940279617.84
UKR       ,2017,1507586334213.46
UKR       ,2008,1497959635904.62
UKR       ,2014,1490265088833.6401
UKR       ,2018,1487007118832.29
UZB       ,2024,1485339951593.29
AGO       ,2016,1469348137325.17
PER       ,2022,1459425292432.8699
NGA       ,2017,1454778089031.8
THA       ,2008,1454747570565.3599
KAZ       ,2008,1443450475145.2
PHL       ,2011,1442899291473.84
PHL       ,2012,1442451031612.45
PER       ,2020,1421319678745.03
AGO       ,2018,1411807321239.24
MAR       ,2024,1405475463579.13
VNM       ,2011,1404607254922.13
UKR       ,2009,1403914571552.54
BGD       ,2017,1372863462352.68
THA       ,2007,1371980025894.8801
KAZ       ,2007,1367615130760.54
UKR       ,2007,1358547345306.99
COL       ,2010,1344821179847.53
BRA       ,2025,1334649559916.8
AGO       ,2014,1330763735425.99
PHL       ,2009,1327595588159.96
NGA       ,2014,1320688743118.93
KAZ       ,2009,1319073798689.66
COL       ,2009,1299419281428.05
MAR       ,2020,1291472382755.63
MAR       ,2023,1274635091525.92
ZAF       ,2008,1270127584966.23
UKR       ,2016,1268650268510.26
PAK       ,2012,1267718360454.2
PAK       ,2011,1267452931838.45
AGO       ,2022,1266194453554.71
ZAF       ,2009,1247435017418.55
AGO       ,2019,1240504990130.44
PAK       ,2013,1238028551034.24
LBN       ,2018,1235639243525.78
THA       ,2006,1233443299317.28
AGO       ,2024,1233371139909.25
ZAF       ,2007,1226077545119.74
NGA       ,2013,1219397028633.34
PHL       ,2006,1204100798999.65
UZB       ,2023,1194825426462.19
PAK       ,2010,1194098728725.52
PAK       ,2009,1192852602983.8801
VNM       ,2010,1182496069673.66
THA       ,2005,1172847156757.71
BGD       ,2016,1164750284826.66
AGO       ,2021,1163515624971.46
MAR       ,2021,1150308475759.91
PER       ,2015,1147865341605.76
AGO       ,2017,1147162858120.78
MAR       ,2022,1137303300375.0
PHL       ,2008,1137146306778.28
IND       ,2026,1131677552711.4
BRA       ,2030,1130114031554.8
AGO       ,2013,1129573652362.75
IDN       ,2030,1120367260472.5
KAZ       ,2006,1117056440377.58
PAK       ,2008,1116418207733.6301
MEX       ,2026,1107177061786.7
PHL       ,2004,1107156298952.87
LBN       ,2017,1106245711774.46
PHL       ,2007,1106061975651.59
BRA       ,2026,1104260294133.5
ECU       ,2019,1103677923460.55
NGA       ,2015,1098446446759.2999
IND       ,2027,1094795450335.1
ECU       ,2024,1090423267364.77
MEX       ,2027,1089734169807.4
SRB       ,2024,1084629485842.07
EGY       ,2014,1083305158918.5
EGY       ,2012,1078378607400.51
THA       ,2000,1075301589465.05
IND       ,2029,1074688594532.9
MAR       ,2019,1072429494456.65
IND       ,2028,1069062797551.9
PER       ,2016,1068961370230.0701
NGA       ,2012,1068890353717.66
AGO       ,2023,1067477330370.52
COL       ,2008,1067461405134.04
UZB       ,2022,1063477737839.08
PHL       ,2003,1061057954633.37
IND       ,2025,1054456648014.9
AGO       ,2020,1053042572271.43
ZAF       ,2006,1052139120141.71
THA       ,2004,1050878456753.5701
PER       ,2017,1050034641948.5701
IRN       ,2011,1049833318645.1901
PER       ,2018,1045176189458.52
AGO       ,2015,1034424369861.9
THA       ,2001,1027075285694.07
PER       ,2012,1026809350356.61
ECU       ,2023,1026652437206.41
PAK       ,2007,1025499932521.99
NGA       ,2011,1023126747734.7
BRA       ,2027,1021952825338.1
PHL       ,2005,1019290818862.86
COL       ,2007,1016140033759.66
PER       ,2019,1015215196837.85
THA       ,2002,1015173234594.0
EGY       ,2010,1006399434759.62
NGA       ,2016,1006221928594.96
ECU       ,2018,1004347150826.12
ECU       ,2020,1001577184265.9299
LKA       ,2019,997865752821.05
DOM       ,2024,994468838256.4
PER       ,2014,990927223722.6
PHL       ,2002,990285716540.46
LBN       ,2019,989284807356.05
LBN       ,2016,988570200969.59
PHL       ,2000,985963163326.11
LBN       ,2015,985709836303.73
MAR       ,2014,984250300114.54
THA       ,2003,982060962869.92
IRQ       ,2022,981657336681.09
SRB       ,2023,976984602415.59
DOM       ,2023,975759991979.91
ECU       ,2022,974698602067.86
BRA       ,2028,972391346453.0
ECU       ,2017,971033342562.0
KEN       ,2024,970636908796.18
BGD       ,2015,961099548865.4
LBN       ,2012,957679654649.97
LKA       ,2023,954056191307.37
PER       ,2013,951963159491.26
MLI       ,2017,951743463958.9199
MEX       ,2025,951272365502.3
LKA       ,2018,938400061071.93
DOM       ,2020,937719042407.26
PHL       ,2001,936165768284.61
VNM       ,2009,935815413375.35
CHN       ,2028,932543838672.2
PAK       ,2006,929590472749.11
AGO       ,2011,929212692560.17
LKA       ,2021,926074325474.08
UKR       ,2006,925516870427.54
ECU       ,2021,924944423180.5599
IRN       ,2012,924944069910.32
UZB       ,2021,923841366131.71
MAR       ,2017,923644470616.16
BGD       ,2014,921327811709.29
IRQ       ,2023,917404901921.85
CHN       ,2029,915871088002.5
MAR       ,2015,913796310411.78
ZAF       ,2005,913106300174.8099
LBN       ,2013,912300752752.59
LKA       ,2024,909568498211.22
COL       ,2006,908151985298.3
DOM       ,2022,904368085907.47
NGA       ,2010,901343865322.12
AGO       ,2012,901266983752.76
KEN       ,2019,890344937063.51
IRQ       ,2018,888761635915.25
UZB       ,2020,888436897441.3099
EGY       ,2011,887144579852.65
MAR       ,2013,884538711381.7
LKA       ,2017,882034993080.01
MAR       ,2018,880132832323.97
EGY       ,2009,877628654345.04
IRQ       ,2019,877224360977.52
LBN       ,2014,876599960082.73
MEX       ,2029,874590277704.8
ECU       ,2016,874169993428.43
GHA       ,2021,868552446538.41
KEN       ,2023,866647109690.17
IRQ       ,2017,865000296638.4299
MAR       ,2016,859309798699.24
LKA       ,2020,855063816023.35
PER       ,2010,853911847976.4
EGY       ,2007,852680949128.27
BGD       ,2013,850623011713.58
KEN       ,2021,847647064288.84
IRQ       ,2024,845325894051.39
KEN       ,2022,843284499190.79
IRN       ,2010,843118984490.79
IND       ,2030,841686040239.8
LKA       ,2022,841368323972.38
EGY       ,2008,832181832020.25
ZAF       ,2004,827247044920.67
LBN       ,2011,825748548578.06
PAK       ,2005,816244150398.04
KEN       ,2020,815415624204.49
BRA       ,2029,810701013682.1
LKA       ,2016,809503551445.8
KEN       ,2018,808826270410.76
PER       ,2011,808625791562.77
SRB       ,2021,807150741827.47
PAK       ,2004,805490212137.66
COL       ,2005,803576283597.65
SRB       ,2022,802435258832.98
IRN       ,2009,799775770342.65
NGA       ,2008,797296735823.81
ETH       ,2018,796816144526.95
MAR       ,2012,792962155090.24
VNM       ,2008,788395566283.3
IRN       ,2008,787353044329.94
IDN       ,2025,787210413673.7
BGD       ,2012,785219629172.07
LKA       ,2014,785180354201.85
DOM       ,2021,776516385415.5
IRQ       ,2021,775206547212.49
IRN       ,2013,771641778553.22
GHA       ,2020,771375357618.61
COL       ,2003,769498010921.86
LKA       ,2012,768039819971.14
SRB       ,2020,753138317149.5
TZA       ,2024,751693789393.6
LKA       ,2015,749931830497.66
LBN       ,2009,749781397832.01
SEN       ,2023,749722906321.8
IRN       ,2007,743890381427.13
SEN       ,2024,743697184159.23
IRQ       ,2020,741259036324.06
PER       ,2009,740029634736.37
IRN       ,2017,738278126286.45
TZA       ,2023,738203263825.12
COL       ,2001,735475770530.75
PAK       ,2003,732178142812.16
ETH       ,2020,730798774360.34
IRN       ,2014,730637913950.82
UZB       ,2019,728908090876.15
LBN       ,2010,727668062468.96
IRN       ,2024,726108177751.5499
IRQ       ,2016,725075971664.55
ECU       ,2014,722926786185.48
MEX       ,2031,722223649669.8
PAK       ,2002,722194498322.56
ETH       ,2024,721801949436.77
PER       ,2007,717234333991.21
LBN       ,2020,714846243339.38
KEN       ,2017,714780690332.66
LKA       ,2013,714711020871.81
COL       ,2004,713108604171.2999
LBN       ,2024,711435312743.07
AGO       ,2010,705502658137.53
MAR       ,2011,705333014204.51
EGY       ,2005,703990418817.09
ZAF       ,2003,699042567712.79
BGD       ,2011,697572916781.9401
GHA       ,2022,697562047040.4
MAR       ,2010,695935076073.35
ETH       ,2023,695080553504.36
ETH       ,2019,693944556752.3
IDN       ,2028,691637486633.6
MEX       ,2028,691234094744.0
JOR       ,2023,690601274560.64
BLR       ,2017,688864750109.52
NGA       ,2009,688319754754.62
EGY       ,2006,685065588401.29
ECU       ,2015,683851891928.85
LBN       ,2022,682828930142.22
LBN       ,2023,675962190206.69
ETH       ,2022,675741622669.73
ETH       ,2021,675648183789.52
IDN       ,2026,674872163526.1
LBN       ,2021,672217102139.54
BRA       ,2031,671450028500.6
GHA       ,2024,671180351145.25
PER       ,2008,670278961646.9299
IRN       ,2016,669720297032.42
VNM       ,2007,669203759449.09
BLR       ,2020,665929408303.27
IRN       ,2023,663181349758.78
ETH       ,2017,661585557412.33
JOR       ,2024,659692280078.89
MOZ       ,2021,658197852612.43
SRB       ,2013,657724447311.64
PAK       ,2001,656573346308.17
IRN       ,2018,655529302057.05
LBN       ,2008,653273714465.81
BLR       ,2014,653196432595.78
IRN       ,2022,652001640701.9299
IRN       ,2006,651339999774.03
IDN       ,2027,648446593886.0
GHA       ,2019,644415843475.79
GHA       ,2023,643964453539.87
BLR       ,2019,640948902187.87
SRB       ,2019,640550545140.46
MAR       ,2009,639390187237.47
BGD       ,2010,637503008689.71
MOZ       ,2022,636945299298.88
BLR       ,2018,632433414452.07
MOZ       ,2024,630755027935.53
DOM       ,2018,630706386442.36
COL       ,2000,630523834937.59
IRQ       ,2015,630133166671.6
THA       ,2028,629787469439.1
AGO       ,2008,627182049862.73
DOM       ,2019,626296504386.15
BLR       ,2013,626270307092.53
MOZ       ,2023,625975185925.64
BLR       ,2022,625688886293.41
DZA       ,2012,625150202821.35
IRN       ,2015,624932656115.39
BLR       ,2011,621477465826.43
KAZ       ,2005,620651374765.6
ZAF       ,2002,619965923554.84
NGA       ,2004,618131143562.79
TUN       ,2019,617580257645.28
BLR       ,2021,616842083887.9
BGD       ,2009,616777616761.69
EGY       ,2004,615943841933.36
DZA       ,2011,615156633612.64
PAK       ,2000,614361452096.44
TZA       ,2022,612936597603.35
AGO       ,2009,612922848079.24
ETH       ,2016,612129679586.33
IRN       ,2005,611735229994.5599
DZA       ,2013,611174802766.43
GHA       ,2018,603256862263.43
MAR       ,2008,601698571783.94
BGD       ,2008,601544945191.79
GHA       ,2016,597881022422.51
TUN       ,2017,595922211673.47
DZA       ,2014,594972821241.58
TUN       ,2020,593984536629.42
DOM       ,2015,593773653227.0
JOR       ,2021,593544037806.1
UKR       ,2005,592316619141.02
SLV       ,2024,587967334605.8
IRN       ,2021,587425228571.57
COL       ,2002,585597804478.06
PER       ,2005,584932992994.02
TZA       ,2021,583931519210.77
BLR       ,2023,583351863194.01
DZA       ,2008,580150303275.72
NGA       ,2005,579597001366.66
TUN       ,2024,578458364217.59
PER       ,2004,578301050088.3099
ETH       ,2015,574137923539.93
BLR       ,2015,573776192452.33
CHN       ,2031,573376598882.6
NGA       ,2003,573132542911.52
TUN       ,2023,569548731453.24
EGY       ,2001,568917363468.89
JOR       ,2020,566669768647.49
TUN       ,2021,566490945520.68
GTM       ,2024,565334688664.6
SRB       ,2012,565183002408.38
MOZ       ,2020,562271168942.78
JOR       ,2022,561769390036.21
UKR       ,2004,561491501194.96
MAR       ,2007,556422540465.1901
IRN       ,2004,556393022101.35
EGY       ,2003,555991130506.57
IDN       ,2029,551846603779.2
BLR       ,2024,551666532998.55
PER       ,2006,547549851837.05
SEN       ,2022,547070291994.82
BLR       ,2016,546867172325.35
IND       ,2031,545649989865.6
MOZ       ,2019,544858172900.45
SRB       ,2014,543906930110.97
TUN       ,2018,543449909116.98
BRA       ,2032,543359427784.9
SRB       ,2017,542594216265.95
AGO       ,2007,542024893191.29
ETH       ,2014,541853440367.77
BLR       ,2012,541106580240.77
LKA       ,2011,538751383657.43
TUN       ,2022,537998423829.07
EGY       ,2002,536446993710.97003
DZA       ,2010,534644965386.24
DOM       ,2017,533968525902.77
SRB       ,2018,530876604867.97
KEN       ,2014,530744728410.45
KAZ       ,2004,528978799142.66
PER       ,2003,526648136412.3
DOM       ,2014,526073577499.63
SRB       ,2011,525462813994.41
LBN       ,2004,524105839664.27997
NGA       ,2000,523894445286.33
ZAF       ,2000,523201598062.51
GHA       ,2015,522975446472.0
MEX       ,2030,522521783574.8
BGD       ,2007,521857094313.26
EGY       ,2000,521064935496.76
DOM       ,2016,520113225022.18
GTM       ,2023,519029769821.49
DZA       ,2005,518469173051.47
PER       ,2002,518001680564.43
GHA       ,2017,516609898712.72003
MOZ       ,2018,514928527783.77997
IRN       ,2019,514454022107.58
LBN       ,2007,512418067850.98
ECU       ,2013,512036479827.57
SEN       ,2021,509675196991.67
TUN       ,2015,508693297135.77
GHA       ,2013,508308498416.23
KEN       ,2016,507839546153.96
TUN       ,2012,505146087664.32
VNM       ,2006,504629107031.51
TZA       ,2019,501970704285.08
DZA       ,2004,501704024220.47
MNG       ,2024,501248974112.01
LBN       ,2006,500226235736.87
TUN       ,2014,498865549862.38
ZAF       ,2001,494981870074.79
GTM       ,2022,494734785894.45996
DOM       ,2013,494696857720.91
MNG       ,2019,492693493600.27
VNM       ,2005,491641047048.27
TZA       ,2020,489794991954.87
LKA       ,2010,486837307952.4
JOR       ,2019,485813809355.05
NGA       ,2002,485464618775.73
ZMB       ,2019,485247512586.99
DZA       ,2003,485050555327.0
GHA       ,2014,483718680798.0
NGA       ,2001,483015441350.59
DZA       ,2023,482050714769.18994
BGD       ,2006,480852740346.65
PRY       ,2024,479974997233.55
KEN       ,2015,479627342898.24
SRB       ,2015,479539335242.33997
DZA       ,2024,478644758563.35004
DZA       ,2009,478058699756.74
IRN       ,2003,475026251362.36
DZA       ,2007,474792161674.74
SRB       ,2016,470961250221.64
MOZ       ,2016,470846901843.8
GTM       ,2021,467131834356.55
SRB       ,2009,466083869598.32
MOZ       ,2013,466043048889.63
TUN       ,2016,465901393499.76
DZA       ,2022,464240954893.13
MOZ       ,2017,464068131013.83
MNG       ,2023,462284820243.78
JOR       ,2018,461662664544.75
JOR       ,2017,461388590992.17
BGD       ,2004,457040274547.94
SRB       ,2010,456387699007.17
DZA       ,2000,456383224162.91
SRB       ,2008,455865024443.61
MLI       ,2016,455357418443.32
MAR       ,2006,455131553693.68
SEN       ,2018,454258603544.23
MOZ       ,2014,454209373123.43
UZB       ,2018,452531186562.47003
PER       ,2000,452370929646.17
SEN       ,2020,451915124420.97
IND       ,2032,450675653533.2
AZE       ,2018,450248331624.28
EGY       ,2026,450026943863.2
DZA       ,2002,448809876364.62
TZA       ,2018,448497264751.26
DZA       ,2016,445936611928.54004
GTM       ,2020,444626822414.66003
MNG       ,2021,444348097165.26
VNM       ,2004,444065361854.11
SLV       ,2023,443978390622.07
ZMB       ,2017,443858696322.43
MEX       ,2032,443287838896.2
LBN       ,2002,442698771057.59
KHM       ,2022,442696930732.2
DZA       ,2015,442692213993.63
KHM       ,2024,442640656331.15
DOM       ,2012,442351160121.35
BGD       ,2005,440892942277.2
PER       ,2001,440872930958.11
TUN       ,2013,440868137085.98
TZA       ,2017,438403783977.79
CHN       ,2032,437853918981.3
LBN       ,2005,437244292591.94
MNG       ,2018,436428950474.6
TUN       ,2011,434206060335.51
KHM       ,2023,431472677854.75
AGO       ,2005,430348132164.68
ZMB       ,2020,430329524098.29
JOR       ,2016,429685301986.95
BGD       ,2003,428915666034.45
MOZ       ,2015,428731632571.42
NGA       ,2007,428023133519.47003
BLR       ,2010,427381033024.87
DZA       ,2001,426388908110.21
MMR       ,2020,422440543539.37
ECU       ,2011,420908011428.21
SRB       ,2007,420256889097.41003
PRY       ,2023,419590919399.18
GTM       ,2017,417601402392.26
PRY       ,2020,417145630193.2
PRY       ,2022,415788990720.89
COL       ,2027,415026109171.8
GTM       ,2019,413836363773.37
AZE       ,2014,413002529475.96
MNG       ,2020,412433368812.97
MAR       ,2003,411677065551.11
ZMB       ,2024,411157114744.57
MAR       ,2005,410924588054.53
ZMB       ,2018,410237859128.81
DZA       ,2017,410165721105.64
DZA       ,2018,405977038646.44
AZE       ,2017,405825161941.21
ECU       ,2012,405119070434.49
AZE       ,2022,403773892269.22003
UGA       ,2024,403271870076.32
MNG       ,2017,403088384575.38
ZMB       ,2022,402178884049.49
ECU       ,2007,401637700150.73
TUN       ,2010,401561807927.11
UGA       ,2023,400952059313.71
JOR       ,2015,399863876648.81
DZA       ,2006,399803994770.3
IRN       ,2020,399543049478.59
TUN       ,2009,396355688660.98
VNM       ,2003,394092014003.87
ETH       ,2013,392838438421.11
UKR       ,2003,389135440061.72003
LKA       ,2009,388067225191.18
KHM       ,2021,387555228088.87
MNG       ,2022,387081375232.65
MAR       ,2004,386979277035.57
UZB       ,2017,385740569746.52
TUN       ,2008,385645790688.33997
IDN       ,2032,383221968723.8
JOR       ,2013,383205002701.0
TZA       ,2016,382911998420.96
UGA       ,2020,382910029235.06
TZA       ,2015,382904461395.82
MMR       ,2013,382609122686.94
ECU       ,2010,381700520768.65
GEO       ,2024,380768651603.01
GHA       ,2012,380372572266.71
AZE       ,2019,378872366284.06
TUN       ,2007,378432233938.3
BGD       ,2002,377616023324.01
UGA       ,2021,377086987008.82
EGY       ,2025,374977155507.3
LBN       ,2003,374588440552.52
PAK       ,2025,374403959136.0
NGA       ,2006,374139683573.48
SLV       ,2021,374118161535.71
TZA       ,2014,374061371463.11
DZA       ,2019,372845832112.65
MAR       ,2000,372823946665.04
SDN       ,2010,372467437630.4
AZE       ,2012,371803272332.27
GTM       ,2016,371056239031.41
PRY       ,2021,370817125841.33
UZB       ,2016,370646207134.01
SDN       ,2019,370284683547.59
GTM       ,2018,369955943527.5
ECU       ,2006,369523049049.69
GHA       ,2011,368399595696.39
SEN       ,2019,366985891459.94
AZE       ,2023,366886717270.92
DOM       ,2011,366578448558.22
ZMB       ,2023,366123414729.87
KHM       ,2020,365511017116.22
BGD       ,2000,364033957525.64
EGY       ,2027,363473623186.3
ECU       ,2005,363289274654.55
GEO       ,2021,362269646285.5
TZA       ,2013,362030775556.36
