Type,Country Code,Series Code,Description
Country-Series,Bangladesh (BGD),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Bangladesh (BGD),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data and long-term private nonguaranteed debt for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and not participating in 2020 and 2021.
Country-Series,Bosnia and Herzegovina (BIH),"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$) (DT.DOD.DPPG.CD)",Prior to 1999 data on long-term public and publicly guaranteed debt include only IBRD and IMF loans.
Country-Series,Bosnia and Herzegovina (BIH),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Bosnia and Herzegovina (BIH),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Bosnia and Herzegovina (BIH),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2018�2024 are World Bank staff estimates based on reports provided by the country; for 2005�2017, they are World Bank staff estimates. With the release of 2021 data, PNG data for the period 2018-2020 are revised based on reports provided by the country. Short-term debt figures are based on BIS data prior to 2018 and on the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds) thereafter."
Country-Series,Belarus (BLR),"Population, total (SP.POP.TOTL)","Data source: National Statistical Committee of the Republic of Belarus, Eurostat"
Country-Series,Belarus (BLR),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Belarus (BLR),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are World Bank staff estimates based on the original terms of the loans. Long-term private nonguaranteed and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,Belize (BLZ),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on data from the Central Bank. Short-term debt data are not available.
Country-Series,Belize (BLZ),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Belize (BLZ),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Bolivia (BOL),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Bolivia (BOL),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Bolivia (BOL),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.
Country-Series,Brazil (BRA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,Brazil (BRA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Brazil (BRA),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Bhutan (BTN),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Bhutan (BTN),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Bhutan (BTN),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt data for 2024 are based on data from the BIS. DSSI eligible and not participating in 2020 or 2021.
Country-Series,Botswana (BWA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt for 2024 is based on data from the BIS.
Country-Series,Botswana (BWA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Botswana (BWA),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Central African Republic (CAF),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Central African Republic (CAF),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Central African Republic (CAF),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and did not participate in 2020, but participating in 2021."
Country-Series,China (CHN),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,China (CHN),"Population, total (SP.POP.TOTL)",Data source: National Bureau of Statistics
Country-Series,China (CHN),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on country aggregate reports. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,C�te d'Ivoire (CIV),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,C�te d'Ivoire (CIV),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,C�te d'Ivoire (CIV),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club agreement signed in 2009, 2011, 2012 and 2020 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020, 2021 and 2022."
Country-Series,Cameroon (CMR),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Cameroon (CMR),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Cameroon (CMR),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,"Congo, Dem. Rep. (COD)","Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,"Congo, Dem. Rep. (COD)","Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,"Congo, Dem. Rep. (COD)","External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,"Congo, Rep. (COG)","External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data only cover European Investment Bank lending. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,"Congo, Rep. (COG)","Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,"Congo, Rep. (COG)","Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Colombia (COL),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Colombia (COL),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,Colombia (COL),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Comoros (COM),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Comoros (COM),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data are not available. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and in 2013 and the HIPC debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Comoros (COM),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Cabo Verde (CPV),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Cabo Verde (CPV),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Cabo Verde (CPV),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt date are not avaliable. Short-term debt data for 2024 are based on data from the Central Bank. DSSI eligible and participating in 2020 and 2021.
Country-Series,Djibouti (DJI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club debt restructuring agreement signed in 2008. DSSI eligible and participating in 2021 and 2022.
Country-Series,Djibouti (DJI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Djibouti (DJI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Dominica (DMA),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Dominica (DMA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Dominica (DMA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on Central Bank, IIP data. Short-term debt data prior to 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds) and thereafter are based on data from the Central Bank, IIP. DSSI eligible and participating in 2020 and 2021."
Country-Series,Dominican Republic (DOM),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Dominican Republic (DOM),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Dominican Republic (DOM),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement signed in 2005.
Country-Series,Algeria (DZA),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
