Type,Country Code,Series Code,Description
Country-Series,Guinea-Bissau (GNB),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the Country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.
Country-Series,Guinea-Bissau (GNB),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Guinea-Bissau (GNB),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Equatorial Guinea (GNQ),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS.
Country-Series,Grenada (GRD),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and participated in 2020, but not participating in 2021."
Country-Series,Grenada (GRD),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Grenada (GRD),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Guatemala (GTM),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Guatemala (GTM),"Population, total (SP.POP.TOTL)",Data source: Guatemala Instituto Nacional de Estadistica
Country-Series,Guatemala (GTM),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,Guyana (GUY),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Guyana (GUY),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Guyana (GUY),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. Based on the FY2025 World Bank Income classification, Guyana is classified as a high-income country. Since it is eligible for IDA resources, its data are included in the IDS database and IDR 2025, but excluded from the regional (LAC) and low-and middle-income aggregates. DSSI eligible and not participating in 2020 and 2021."
Country-Series,Honduras (HND),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Honduras (HND),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Honduras (HND),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.
Country-Series,Haiti (HTI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Haiti (HTI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Haiti (HTI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data only cover Inter-American Development Bank lending. Short-term debt for 2024 is World Bank staff estimates based on Central Bank data. Data include the effects of Paris Club restructuring agreements signed in 2006 and 2009 and HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.
Country-Series,Indonesia (IDN),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt, long-term private non-guaranteed debt, and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,Indonesia (IDN),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Indonesia (IDN),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,India (IND),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,India (IND),"PPG, bonds (DOD, current US$) (DT.DOD.PBND.CD)",Long-term public and publicly guaranteed bonds include Foreign Institutional Investor debt as reported by the Bank of India.
Country-Series,India (IND),"External debt stocks, private nonguaranteed (PNG) (DOD, current US$) (DT.DOD.DPNG.CD)",Data prior to 2003 are mechanically adjusted from fiscal year to calendar year.
Country-Series,India (IND),"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$) (DT.DOD.DPPG.CD)",Data prior to 2003 are mechanically adjusted from fiscal year to calendar year.
Country-Series,India (IND),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,India (IND),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,"Iran, Islamic Rep. (IRN)","External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt, long-term private non-guaranteed debt and short-term debt data for 2024 are World Bank staff estimates."
Country-Series,"Iran, Islamic Rep. (IRN)","Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,"Iran, Islamic Rep. (IRN)","Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Iraq (IRQ),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Iraq (IRQ),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS.
Country-Series,Jamaica (JAM),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt, long-term private non-guaranteed debt and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,Jamaica (JAM),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Jamaica (JAM),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Jordan (JOR),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Jordan (JOR),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Jordan (JOR),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on data from the Central Bank. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,Kazakhstan (KAZ),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,Kazakhstan (KAZ),"Population, total (SP.POP.TOTL)","Data source: Statistical Agency of Kazakhstan, United Nations World Population Prospects"
Country-Series,Kazakhstan (KAZ),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Kenya (KEN),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Kenya (KEN),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Kenya (KEN),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data and also cover African Development Fund lending. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and did not participate in 2020, but participating in 2021."
Country-Series,Kyrgyz Republic (KGZ),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and did not participate in 2020, but participating in 2021."
Country-Series,Kyrgyz Republic (KGZ),"Population, total (SP.POP.TOTL)",Data source: National Statistical Committee
Country-Series,Kyrgyz Republic (KGZ),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Cambodia (KHM),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Cambodia (KHM),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Cambodia (KHM),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.  Data include the effects of MDRI debt relief. DSSI eligible and not participating in 2020 and 2021."
Country-Series,Latin America & Caribbean (excluding high income) (LAC),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Lao PDR (LAO),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Lao PDR (LAO),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Lao PDR (LAO),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and not participating in 2020 and 2021.
Country-Series,Lebanon (LBN),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are World Bank staff estimates. Long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.
Country-Series,Lebanon (LBN),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Lebanon (LBN),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Liberia (LBR),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Liberia (LBR),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Liberia (LBR),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt data are not available.  Data include the effects of Paris Club rescheduling agreement signed in 2008 and 2010, and HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021."
Country-Series,St. Lucia (LCA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available.  Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief. DSSI eligible and did not participate in 2020 but participating in 2021.
Country-Series,St. Lucia (LCA),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,St. Lucia (LCA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Low income (LIC),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Sri Lanka (LKA),"Population, total (SP.POP.TOTL)","Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
Country-Series,Sri Lanka (LKA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Sri Lanka (LKA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private non-guaranteed and short-term debt data for 2024 are based on reports provided by the country. Data include the effects of recent debt restructuring."
Country-Series,Lower middle income (LMC),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Low & middle income (LMY),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Lesotho (LSO),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Lesotho (LSO),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Lesotho (LSO),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on IIP statistics from the IMF. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and participating in 2020 and 2021.
Country-Series,Morocco (MAR),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Morocco (MAR),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.
Country-Series,Morocco (MAR),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Moldova (MDA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Moldova (MDA),"Population, total (SP.POP.TOTL)","Data source: National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova."
Country-Series,Moldova (MDA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible, but not participating in 2020 and 2021."
Country-Series,Madagascar (MDG),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Madagascar (MDG),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Madagascar (MDG),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Maldives (MDV),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Maldives (MDV),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Maldives (MDV),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are estimates based on Central Bank data. Short-term debt for 2024 are based on data from the BIS. DSSI eligible and participating in 2020 and 2021.
Country-Series,Mexico (MEX),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Mexico (MEX),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,Mexico (MEX),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Middle income (MIC),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,North Macedonia (MKD),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,North Macedonia (MKD),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,North Macedonia (MKD),"Population, total (SP.POP.TOTL)","Data source: State Statistical Office, United Nations World Population Prospects"
Country-Series,Mali (MLI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Mali (MLI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Mali (MLI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Myanmar (MMR),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt data are not available. DSSI eligible and participating in 2020, 2021, and 2022."
Country-Series,Myanmar (MMR),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Myanmar (MMR),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income) (MNA)","Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Montenegro (MNE),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Montenegro (MNE),"Population, total (SP.POP.TOTL)","Data source: For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
Country-Series,Montenegro (MNE),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt, long-term private nonguaranteed debt and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,Mongolia (MNG),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed, and short-term debt data for 2024 are based on reports provided by the country. DSSI eligible, but not participating in 2020 and 2021."
Country-Series,Mongolia (MNG),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Mongolia (MNG),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Mozambique (MOZ),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Mozambique (MOZ),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt for 2024 is based on data from the BIS. Data include HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Mozambique (MOZ),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Mauritania (MRT),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Mauritania (MRT),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Mauritania (MRT),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of MDRI debt relief. DSSI eligible and participating in 2020, 2021 and 2022."
Country-Series,Mauritius (MUS),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2009-2010 and from 2017-2024 are based on reports provided by the country and do not include offshore liabilities, while 2011-2016 data are World Bank staff estimates based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database and include offshore liabilities (http://datatopics.worldbank.org/debt/qeds)."
Country-Series,Mauritius (MUS),"Population, total (SP.POP.TOTL)","Data source: Statistics Mauritius, United Nations World Population Prospects"
Country-Series,Mauritius (MUS),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Malawi (MWI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Malawi (MWI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Malawi (MWI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club rescheduling agreement signed in 2006 and HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.
Country-Series,Niger (NER),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 is based on data from the BIS. Data include the effects of Paris Club rescheduling agreement signed in 2006 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Niger (NER),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Niger (NER),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Nigeria (NGA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Nigeria (NGA),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Nigeria (NGA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on Central Bank IIP and market data. Short-term debt data for 2024 are based on Central Bank IIP and BIS data. DSSI eligible, but not participating in 2020 and 2021."
Country-Series,Nicaragua (NIC),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed and long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.Data include the effects of HIPC and MDRI debt relief. DSSI eligible, but not participating in 2020 and 2021."
Country-Series,Nicaragua (NIC),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Nicaragua (NIC),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Nepal (NPL),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
